node_id,longitude,latitude
1208606987,55.1413899,25.0853786
13039514418,55.1510871,25.0899308
7561673222,55.1396365,25.0835209
1330698563,55.1347763,25.0706417
923874172,55.1376789,25.0706251
2063896598,55.135988,25.0761635
605040166,55.1355824,25.0764945
1208606987,55.1413899,25.0853786
1893178269,55.1394641,25.0809814
3199442652,55.1488633,25.0900411
13039198757,55.1479516,25.0905713
1013779704,55.1463792,25.0807512
1166275632,55.1431692,25.0779084
13039514539,55.1468967,25.0878984
2063079164,55.1416877,25.0776759
2053924425,55.1343525,25.0685178
2063079156,55.1419216,25.077528
9967759354,55.1361578,25.0766988
4965137172,55.1466873,25.0893713
13039514253,55.1483792,25.0866935
9571214411,55.1419425,25.0849161
2064793667,55.1410959,25.0824947
8488601040,55.142685,25.0786763
2063079201,55.1425236,25.078392
9969922991,55.1343466,25.070346
626358147,55.132355,25.0644645
4911446791,55.1455278,25.0811053
4742253472,55.1507372,25.088882
13039514256,55.1487507,25.0870346
659835490,55.1436381,25.0842798
659859371,55.1335979,25.069492
2063356585,55.1483072,25.0830656
2063896596,55.13543,25.0766209
7561673222,55.1396365,25.0835209
2063896600,55.1352062,25.0768248
2063356639,55.1482527,25.0866215
659859340,55.1337316,25.0693799
659859348,55.1338769,25.0691585
4910999046,55.1485622,25.0828401
9970094767,55.1349721,25.0698346
2053924425,55.1343525,25.0685178
9967549252,55.1381164,25.0821466
2054775535,55.1399042,25.0747214
605040166,55.1355824,25.0764945
13039198734,55.1460295,25.0888406
2063356557,55.1382297,25.0820198
7577320089,55.1439588,25.0890878
1013780787,55.1481658,25.0812331
9969922996,55.1345456,25.0704037
605034557,55.1303675,25.0717217
4898083830,55.1357886,25.0764233
6563437610,55.1315817,25.0683174
13039514277,55.148525,25.0866158
659859345,55.1346072,25.0686724
13039513933,55.1498956,25.0908795
1150673349,55.1428437,25.085421
6563418477,55.1318552,25.07603
631528741,55.1290823,25.0675876
3199442621,55.1449288,25.0871871
1013734748,55.1518169,25.0863928
659856162,55.1333479,25.0691626
13039514539,55.1468967,25.0878984
283699588,55.1323598,25.0685105
659859347,55.1343813,25.0687328
1280022304,55.1348155,25.0671339
5993831720,55.141834,25.0849492
9969745116,55.1399015,25.0744148
2063896604,55.1357808,25.0766815
3274635579,55.1443798,25.0833901
642992003,55.1331226,25.0678414
2063079209,55.1423189,25.0785576
2268129868,55.1473902,25.088817
6828558952,55.1397173,25.0836113
13039514450,55.1518165,25.0893795
9967399817,55.1413239,25.0878242
7561673222,55.1396365,25.0835209
3199442652,55.1488633,25.0900411
4911446790,55.1456867,25.0813509
2063896600,55.1352062,25.0768248
9632970750,55.1483622,25.0866919
3199442650,55.1488187,25.0899952
3199442627,55.1462735,25.0872838
4743070609,55.1468499,25.0889471
13039492759,55.1475854,25.0883738
659859345,55.1346072,25.0686724
8684410135,55.1460289,25.0802885
3266624076,55.1278263,25.0686
4911446790,55.1456867,25.0813509
2063896596,55.13543,25.0766209
642991962,55.143382,25.0779407
2063079181,55.1413572,25.0782658
605034575,55.1340279,25.0779428
9961066730,55.1405592,25.0830112
718402787,55.1447562,25.0857057
13039514256,55.1487507,25.0870346
13039183065,55.1466514,25.0890856
292131079,55.1478271,25.0832797
13039514253,55.1483792,25.0866935
2053924410,55.1333827,25.0695407
2054775541,55.1392417,25.0736824
663311088,55.1284239,25.0721354
2054775560,55.1391179,25.0750552
1013734748,55.1518169,25.0863928
2063157177,55.138978,25.0733685
9177495921,55.1383178,25.0818719
5993831725,55.1435535,25.0783009
4695304897,55.1415065,25.0852112
642991962,55.143382,25.0779407
631511766,55.1319371,25.0726948
2054775535,55.1399042,25.0747214
2103165392,55.1321308,25.0671855
13039183096,55.1452975,25.0905613
6815790875,55.14728,25.0890046
631520381,55.133132,25.0755351
659835478,55.1455393,25.0813255
659859379,55.1334346,25.0693463
3241119584,55.1419427,25.0859912
9571214402,55.141937,25.0847872
1166275612,55.140151,25.0808849
2063356601,55.1501475,25.0848218
13039514539,55.1468967,25.0878984
3199442651,55.1489375,25.0899801
631528741,55.1290823,25.0675876
4299438711,55.1347411,25.0754019
1166275663,55.1428913,25.077639
2053924425,55.1343525,25.0685178
4911520627,55.1478593,25.0831509
287434765,55.1439044,25.0839264
3274635579,55.1443798,25.0833901
4911467999,55.1301384,25.0738488
13039514528,55.1472455,25.0886397
8684410160,55.143124,25.0778643
3199442622,55.1448163,25.0871349
605034575,55.1340279,25.0779428
13039514277,55.148525,25.0866158
642991964,55.146399,25.0805905
2063869354,55.1316347,25.0723979
663311088,55.1284239,25.0721354
13039514478,55.1486838,25.0898565
4695304897,55.1415065,25.0852112
4898083829,55.135628,25.0765403
659859344,55.1348227,25.0687384
1166275526,55.1391831,25.0736126
4299434639,55.132767,25.0750146
4695304897,55.1415065,25.0852112
4743070609,55.1468499,25.0889471
2057637285,55.139662,25.0749124
2063356599,55.1488437,25.0848134
631520224,55.1400611,25.0809835
631528780,55.1304401,25.0666668
